UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,lat,lon
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-6.247743004318906,-77.85648801252542
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,-5.99613253796839,-77.74320405074546
010103,AMAZONAS,CHACHAPOYAS,BALSAS,-6.807726335816897,-77.94916585240522
010104,AMAZONAS,CHACHAPOYAS,CHETO,-6.297969692428437,-77.67716635744989
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,-6.078207698562568,-77.75586588012693
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,-6.934894226157582,-77.89507050867155
010107,AMAZONAS,CHACHAPOYAS,GRANADA,-6.099981188943477,-77.57658300242403
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,-6.156145011203959,-77.87497917740141
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,-6.50359392364507,-77.78439660608342
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,-6.808897244489059,-77.79870702783339
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,-6.314297221682729,-77.86455376276194
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,-6.420566007141201,-77.8238173596485
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,-6.57890315093351,-77.77000230771652
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-6.212441062430975,-77.60725317408335
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,-6.6281062218442255,-77.71837790927518
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,-6.008413444685351,-77.67098432933984
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,-6.108160942519135,-77.68549064610782
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,-6.232235876607714,-77.7335752484944
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,-6.354417209565741,-77.82256678519494
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,-6.30911425142126,-77.74635380305905
010121,AMAZONAS,CHACHAPOYAS,SONCHE,-6.17597398126299,-77.79640452948836
010201,AMAZONAS,BAGUA,BAGUA,-5.580912736029776,-78.52098273594747
010202,AMAZONAS,BAGUA,ARAMANGO,-5.378770841193235,-78.44439065903512
010203,AMAZONAS,BAGUA,COPALLIN,-5.647704896647664,-78.39975670684288
010204,AMAZONAS,BAGUA,EL PARCO,-5.622638263497034,-78.47396967755299
010205,AMAZONAS,BAGUA,IMAZA,-4.991340427566697,-78.38958734174693
010206,AMAZONAS,BAGUA,LA PECA,-5.591978272561925,-78.44540616041749
010301,AMAZONAS,BONGARA,JUMBILLA,-5.951742803546386,-77.82565836109814
010302,AMAZONAS,BONGARA,CHISQUILLA,-5.894847267759954,-77.725795012493
010303,AMAZONAS,BONGARA,CHURUJA,-6.007796552205859,-77.9303638742473
010304,AMAZONAS,BONGARA,COROSHA,-5.81751877389044,-77.81072419583076
010305,AMAZONAS,BONGARA,CUISPES,-5.911145374330554,-77.91479272488591
010306,AMAZONAS,BONGARA,FLORIDA,-5.8236043368532995,-77.95920179974767
010307,AMAZONAS,BONGARA,JAZAN,-5.945373897406789,-78.02343177919253
010308,AMAZONAS,BONGARA,RECTA,-5.939221119467698,-77.77535864090197
010309,AMAZONAS,BONGARA,SAN CARLOS,-5.996388687867567,-77.87905940359268
010310,AMAZONAS,BONGARA,SHIPASBAMBA,-5.883746749856786,-78.05208915494174
010311,AMAZONAS,BONGARA,VALERA,-6.080633898157337,-77.86917134189534
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,-5.524329293241806,-77.86054902772456
010401,AMAZONAS,CONDORCANQUI,NIEVA,-4.845424320469756,-77.930373179314
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,-4.168538132816909,-78.33589328993338
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-3.813449732025529,-77.88811454149717
010501,AMAZONAS,LUYA,LAMUD,-6.119879910608775,-77.94355895263284
010502,AMAZONAS,LUYA,CAMPORREDONDO,-6.1777980406405195,-78.33447989420773
010503,AMAZONAS,LUYA,COCABAMBA,-6.626972568249858,-78.01537394348156
010504,AMAZONAS,LUYA,COLCAMAR,-6.310031521132096,-78.01063894410352
010505,AMAZONAS,LUYA,CONILA,-6.126534798156595,-78.19119413933859
010506,AMAZONAS,LUYA,INGUILPATA,-6.2481021964439405,-78.02856757755008
010507,AMAZONAS,LUYA,LONGUITA,-6.407304330054192,-78.00480910348757
010508,AMAZONAS,LUYA,LONYA CHICO,-6.207429049853795,-78.01239710339011
010509,AMAZONAS,LUYA,LUYA,-6.1787474759102885,-77.96664503584189
010510,AMAZONAS,LUYA,LUYA VIEJO,-6.117380357362676,-78.10259170485618
010511,AMAZONAS,LUYA,MARIA,-6.496564786856983,-77.96079653108416
010512,AMAZONAS,LUYA,OCALLI,-6.221806230999888,-78.21685799267425
010513,AMAZONAS,LUYA,OCUMAL,-6.3457843790141135,-78.1639927720431
010514,AMAZONAS,LUYA,PISUQUIA,-6.474745394047545,-78.08628178556856
010515,AMAZONAS,LUYA,PROVIDENCIA,-6.307571484875298,-78.29184787713625
010516,AMAZONAS,LUYA,SAN CRISTOBAL,-6.084081335856714,-77.9633622320635
010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,-6.659019900816634,-77.85953166152929
010518,AMAZONAS,LUYA,SAN JERONIMO,-6.004593674339493,-78.04580687909217
010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,-6.482743515031878,-77.89175624686196
