epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.582,1.05612,1.63694,1.16504,0,0,0,0,0,0,0,0.00036879,0.00036879,0.00036879
2,890.34,1.18108,1.60949,1.24501,0,0,0,0,0,0,0,0.000724489,0.000724489,0.000724489
3,1183.36,1.18361,1.43932,1.24511,0,0,0,0,0,0,0,0.00106552,0.00106552,0.00106552
4,1579.1,1.17332,1.32579,1.23699,0,0,0,0,0,0,0,0.00104501,0.00104501,0.00104501
5,1907.27,1.12884,1.17594,1.21776,0,0,0,0,0,0,0,0.00102301,0.00102301,0.00102301
6,2296.24,1.08623,1.11551,1.19355,0,0,0,0,0,0,0,0.00100101,0.00100101,0.00100101
7,2875.5,1.07517,1.04122,1.17993,0,0,0,0,0,0,0,0.000979013,0.000979013,0.000979013
8,3636.25,1.03924,0.97145,1.15712,0,0,0,0,0,0,0,0.000957015,0.000957015,0.000957015
9,3988.82,1.02264,0.95977,1.1545,0,0,0,0,0,0,0,0.000935018,0.000935018,0.000935018
10,4365.95,1.02022,0.91549,1.15486,0,0,0,0,0,0,0,0.00091302,0.00091302,0.00091302
11,4627.66,0.98862,0.86762,1.13474,0,0,0,0,0,0,0,0.000891022,0.000891022,0.000891022
12,5000.8,0.96962,0.84655,1.12203,0,0,0,0,0,0,0,0.000869024,0.000869024,0.000869024
13,5208.71,0.96148,0.82806,1.11747,0,0,0,0,0,0,0,0.000847026,0.000847026,0.000847026
14,5572.01,0.94996,0.80291,1.10243,0,0,0,0,0,0,0,0.000825029,0.000825029,0.000825029
15,5832.28,0.93012,0.78453,1.09383,0,0,0,0,0,0,0,0.000803031,0.000803031,0.000803031
16,6189.67,0.91155,0.75841,1.08592,0,0,0,0,0,0,0,0.000781033,0.000781033,0.000781033
17,6409.62,0.89677,0.7127,1.07074,0,0,0,0,0,0,0,0.000759035,0.000759035,0.000759035
18,6738.38,0.89205,0.70885,1.0713,0,0,0,0,0,0,0,0.000737037,0.000737037,0.000737037
19,7048.63,0.87978,0.69522,1.07119,0,0,0,0,0,0,0,0.00071504,0.00071504,0.00071504
20,7627.39,0.88095,0.68788,1.06455,0,0,0,0,0,0,0,0.000693042,0.000693042,0.000693042
21,7937.59,0.86925,0.67395,1.06002,0,0,0,0,0,0,0,0.000671044,0.000671044,0.000671044
22,8361.32,0.84591,0.64858,1.04869,0,0,0,0,0,0,0,0.000649046,0.000649046,0.000649046
23,8607.69,0.83417,0.64221,1.04726,0,0,0,0,0,0,0,0.000627048,0.000627048,0.000627048
24,8943.97,0.83413,0.63199,1.04273,0,0,0,0,0,0,0,0.000605051,0.000605051,0.000605051
25,9344.73,0.8302,0.62669,1.0408,0,0,0,0,0,0,0,0.000583053,0.000583053,0.000583053
26,9664.43,0.81364,0.60316,1.03175,0,0,0,0,0,0,0,0.000561055,0.000561055,0.000561055
27,9966.43,0.81394,0.60515,1.03311,0,0,0,0,0,0,0,0.000539057,0.000539057,0.000539057
28,10292.5,0.801,0.59719,1.02501,0,0,0,0,0,0,0,0.000517059,0.000517059,0.000517059
29,10610.3,0.78681,0.58365,1.02724,0,0,0,0,0,0,0,0.000495062,0.000495062,0.000495062
30,10825.7,0.7809,0.57112,1.01467,0,0,0,0,0,0,0,0.000473064,0.000473064,0.000473064
31,11103.7,0.76351,0.55879,1.00686,0,0,0,0,0,0,0,0.000451066,0.000451066,0.000451066
32,11396.8,0.77321,0.56236,1.01423,0,0,0,0,0,0,0,0.000429068,0.000429068,0.000429068
33,11629,0.75727,0.54722,1.00013,0,0,0,0,0,0,0,0.00040707,0.00040707,0.00040707
34,11926.7,0.7439,0.52846,0.99831,0,0,0,0,0,0,0,0.000385073,0.000385073,0.000385073
35,12179.8,0.73548,0.52096,0.992,0,0,0,0,0,0,0,0.000363075,0.000363075,0.000363075
36,12481.5,0.73263,0.51635,0.99418,0,0,0,0,0,0,0,0.000341077,0.000341077,0.000341077
37,12812.2,0.71875,0.506,0.985,0,0,0,0,0,0,0,0.000319079,0.000319079,0.000319079
38,13201,0.70929,0.49975,0.98676,0,0,0,0,0,0,0,0.000297081,0.000297081,0.000297081
39,13596.4,0.69599,0.48422,0.9792,0,0,0,0,0,0,0,0.000275084,0.000275084,0.000275084
40,14111.5,0.69483,0.48672,0.97681,0,0,0,0,0,0,0,0.000253086,0.000253086,0.000253086
41,14658.4,0.62984,0.39776,0.92118,0,0,0,0,0,0,0,0.000231088,0.000231088,0.000231088
42,15286.9,0.61349,0.38228,0.91089,0,0,0,0,0,0,0,0.00020909,0.00020909,0.00020909
43,15878,0.60351,0.37969,0.90759,0,0,0,0,0,0,0,0.000187092,0.000187092,0.000187092
44,16395.7,0.5936,0.36977,0.90335,0,0,0,0,0,0,0,0.000165095,0.000165095,0.000165095
45,16825.4,0.58336,0.35916,0.8991,0,0,0,0,0,0,0,0.000143097,0.000143097,0.000143097
46,17275.1,0.57764,0.35276,0.89799,0,0,0,0,0,0,0,0.000121099,0.000121099,0.000121099
47,17727.6,0.55975,0.34255,0.89165,0,0,0,0,0,0,0,9.91012e-05,9.91012e-05,9.91012e-05
48,18188.6,0.55716,0.33835,0.88557,0,0,0,0,0,0,0,7.71034e-05,7.71034e-05,7.71034e-05
49,18582.1,0.54762,0.33503,0.88508,0,0,0,0,0,0,0,5.51056e-05,5.51056e-05,5.51056e-05
50,19005.3,0.5403,0.33032,0.88191,0.90791,0.86642,0.91587,0.7188,0.83845,0.56039,1.06217,3.31078e-05,3.31078e-05,3.31078e-05
